indic_is,ind_type,unit,time\geo	EU28 	EU27 	EU15 	EA 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	ME 	MK 	TR 
I_IHDDAY,CB_EU_FOR,PC_IND,2012	15 	15 	16 	12 	15 	: u	: u	22 	7 	11 u	19 	5 u	15 	19 	: 	: u	9 	3 	0 u	20 	11 	14 u	33 	12 	9 u	7 	: 	: u	14 u	35 u	35 u	39 	16 	31 u	: 	: 	: 
I_IHDDAY,CB_EU_FOR,PC_IND_IU3,2012	21 	21 	21 	17 	19 	: u	: u	22 	11 	19 u	22 	6 u	20 	25 	: 	: u	12 	6 u	: u	23 	14 	: u	35 u	14 	: u	9 	: 	: u	17 u	36 u	40 u	46 u	17 	32 u	: 	: 	: 
I_IHDDAY,CB_EU_FOR,PC_IND_IUHD,2012	57 	57 	57 	55 	48 	: u	: u	49 u	60 	: u	60 	: u	51 	63 	: 	: u	55 	: u	: u	47 	: u	: u	66 u	35 	: u	32 u	: 	: u	: u	: u	: u	60 u	40 u	50 u	: 	: 	: 
I_IHDDAY,CB_EXT_EU,PC_IND,2012	21 	21 	22 	13 	11 	25 u	: 	35 	12 	3 	: 	5 	11 	21 	11 	: u	9 	3 	2 	29 	4 u	19 u	25 	24 	3 u	6 	: u	3 	: u	22 	39 	39 	16 u	32 u	: 	: 	: 
I_IHDDAY,CB_EXT_EU,PC_IND_IU3,2012	28 	28 	29 	19 	15 	28 u	: 	39 	14 	6 	: 	12 	15 	29 	18 	: u	14 	5 	3 	32 	5 u	24 u	28 	31 	: u	8 	: u	5 	: u	24 u	42 	43 	17 u	32 u	: 	: 	: 
I_IHDDAY,CB_EXT_EU,PC_IND_IUHD,2012	62 	62 	62 	59 	37 	: u	: 	67 	61 	47 u	: 	: u	46 	70 	38 u	: u	56 	42 u	27 u	54 u	: u	: u	60 	69 u	: u	40 u	: u	: u	: u	46 u	62 	65 	: u	: u	: 	: 	: 
I_IHDDAY,CB_FOR,PC_IND,2012	19 	19 	20 	13 	13 	23 u	: u	31 	9 	4 	21 	5 	12 	21 	11 	: u	9 	3 	2 	21 	8 	17 	26 	19 	5 	6 	: u	4 	15 u	27 	38 	39 	16 	31 	11 	: 	: 
I_IHDDAY,CB_FOR,PC_IND_IU3,2012	26 	26 	26 	18 	17 	27 u	: u	34 	13 	6 	23 	10 	17 	28 	18 	: u	13 	5 	3 	24 	11 	23 u	30 	23 	12 u	8 	: u	6 	19 u	29 	42 	44 	17 	32 	20 	: 	: 
I_IHDDAY,CB_FOR,PC_IND_IUHD,2012	61 	61 	61 	58 	42 	: u	: u	62 	61 	47 u	59 	33 u	48 	69 	38 u	: u	55 	42 u	25 u	48 	: u	: u	62 	54 	: u	37 	: u	: u	: u	53 u	64 	64 	42 	62 u	58 u	: 	: 
I_IHDDAY,CB_NAT,PC_IND,2012	16 	16 	19 	15 	10 	4 	: u	31 	15 	9 	18 	6 	19 	18 	14 	: u	9 	8 	3 	28 	5 	17 	30 	20 	4 	5 	3 	8 	9 	24 	42 	35 	20 	30 	14 	: 	: 
I_IHDDAY,CB_NAT,PC_IND_IU3,2012	22 	22 	25 	20 	13 	8 	: u	34 	18 	11 	25 	10 	27 	22 	23 	: u	15 	11 	4 	30 	7 	25 	33 	25 	7 	8 	6 	11 	12 	26 	45 	40 	21 	32 	25 	: 	: 
I_IHDDAY,CB_NAT,PC_IND_IUHD,2012	57 	57 	60 	58 	35 	60 	: u	60 	61 	44 	65 	37 	59 	54 	49 	: u	50 	47 	21 	55 	45 	58 	68 	55 	28 	36 	53 	32 	34 	53 	70 	62 	45 	51 	59 	: 	: 
I_IHDDAY,CC_EU_FOR,PC_IND,2012	17 	17 	17 	15 	17 	: u	: u	24 	15 	: u	15 	0 u	17 	21 	: 	: u	10 	: u	: u	24 	15 u	: u	23 u	14 	: u	1 u	: 	: 	: u	: u	: u	31 u	11 	36 u	: 	: 	: 
I_IHDDAY,CC_EU_FOR,PC_IND_IU3,2012	22 	22 	22 	20 	20 	: u	: u	25 	19 	: u	17 	: u	22 	27 	: 	: u	14 	: u	: u	26 	: u	: u	24 u	14 	: u	2 u	: 	: 	: u	: u	: u	36 u	12 	36 u	: 	: 	: 
I_IHDDAY,CC_EU_FOR,PC_IND_IUHD,2012	56 	56 	56 	57 	49 	: u	: u	51 u	72 u	: u	51 	: u	57 	69 u	: 	: u	57 	: u	: u	50 	: u	: u	: u	35 	: u	: u	: 	: 	: u	: u	: u	51 u	34 u	: u	: 	: 	: 
I_IHDDAY,CC_EXT_EU,PC_IND,2012	19 	19 	19 	10 	12 	27 u	: u	34 	10 	6 	: 	4 	9 	18 	: 	: u	6 	4 	0 	35 u	2 u	: u	34 u	24 u	: u	4 	: u	4 u	: u	22 u	28 u	45 	: u	39 u	: 	: 	: 
I_IHDDAY,CC_EXT_EU,PC_IND_IU3,2012	27 	27 	27 	16 	17 	35 u	: u	37 	13 	8 	: 	10 u	13 	29 	: 	: u	10 	7 	0 	36 u	4 u	: u	37 u	32 u	: u	6 	: u	7 u	: u	23 u	34 u	48 	: u	39 u	: 	: 	: 
I_IHDDAY,CC_EXT_EU,PC_IND_IUHD,2012	63 	63 	63 	56 	41 u	: u	: u	65 	54 u	53 	: 	: u	44 	64 	: 	: u	54 u	41 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u	69 	: u	: u	: 	: 	: 
I_IHDDAY,CC_FOR,PC_IND,2012	18 	18 	19 	12 	15 	22 u	: u	30 	13 	5 	: 	3 	12 	19 	: 	: u	8 	4 	0 	24 	7 	14 u	28 	19 	9 u	3 	: u	4 u	: u	22 u	31 u	43 	13 	37 	7 	: 	: 
I_IHDDAY,CC_FOR,PC_IND_IU3,2012	25 	25 	26 	18 	20 	34 u	: u	32 	16 	8 	: 	8 	16 	29 	: 	: u	13 	7 	0 	27 	10 u	: u	29 u	23 	: u	4 	: u	7 u	: u	23 u	38 u	46 	14 	37 	14 u	: 	: 
I_IHDDAY,CC_FOR,PC_IND_IUHD,2012	61 	61 	61 	57 	47 	: u	: u	59 	64 	51 	: 	: u	50 	67 	: 	: u	56 	43 	: u	51 	: u	: u	60 u	52 	: u	: u	: 	: u	: u	: u	59 u	67 	38 u	64 u	: u	: 	: 
I_IHDDAY,CC_NAT,PC_IND,2012	16 	16 	19 	15 	10 	4 	: u	31 	15 	9 	18 	6 	19 	18 	14 	: u	9 	8 	3 	26 	5 	17 	30 	20 	4 	5 	3 	7 	9 	24 	42 	35 	20 	30 	14 	: 	: 
I_IHDDAY,CC_NAT,PC_IND_IU3,2012	22 	22 	25 	20 	13 	8 	: u	34 	18 	11 	25 	10 	27 	22 	23 	: u	15 	11 	4 	28 	7 	25 	33 	25 	7 	8 	7 	10 	12 	27 	44 	40 	21 	31 	25 	: 	: 
I_IHDDAY,CC_NAT,PC_IND_IUHD,2012	57 	58 	60 	58 	34 	60 	: u	61 	61 	44 	65 	36 	59 	55 	48 	: u	50 	47 	21 	54 	45 	57 	68 	55 	28 	36 	53 	32 	34 	53 	69 	62 	45 	51 	59 	: 	: 
I_IHDDAY,EMPL_UNE,PC_IND,2012	20 	20 	23 	18 	13 	5 	: u	34 	18 	9 	23 	7 	20 	22 	15 	11 	10 	8 	2 	28 	6 	24 	37 	22 	6 	6 	3 	7 	10 	28 	45 	41 	21 	33 	13 	5 	7 
I_IHDDAY,EMPL_UNE,PC_IND_IU3,2012	24 	24 	26 	21 	15 	9 	: u	35 	19 	11 	27 	10 	25 	25 	20 	16 	14 	10 	3 	30 	8 	28 	38 	24 	7 	8 	6 	9 	12 	29 	46 	44 	21 	33 	22 	8 	13 
I_IHDDAY,EMPL_UNE,PC_IND_IUHD,2012	59 	59 	61 	59 	38 	60 	: u	60 	63 	46 	66 	38 	57 	58 	46 	73 	52 	46 	19 	53 	46 	61 	69 	52 	30 	39 	52 	30 	34 	53 	69 	65 	46 	52 	56 	40 	53 
I_IHDDAY,F_I0_2,PC_IND,2012	7 	7 	8 	7 	5 	0 n	: u	30 	11 	8 	9 	1 	7 	9 	8 	3 	2 	8 	4 	19 	3 	5 	20 	16 	3 	1 	0 n	3 	5 	13 	29 	11 	15 	31 	5 	1 	1 
I_IHDDAY,F_I0_2,PC_IND_IU3,2012	16 	16 	17 	15 	10 	3 	: u	35 	16 	14 	17 	8 	16 	14 	33 u	11 	8 	15 	9 	28 	7 	11 	26 	32 	7 	3 	2 	8 	9 	17 	36 	19 	17 	35 	: u	4 	7 
I_IHDDAY,F_I0_2,PC_IND_IUHD,2012	54 	54 	55 	54 	29 	: u	: u	64 	60 	47 	63 	: u	51 	45 	: u	71 	35 u	45 	29 	56 u	40 u	44 u	73 	64 	27 	25 	29 u	: u	21 	40 	61 	61 u	44 	55 u	: u	: u	43 
I_IHDDAY,F_I3_4,PC_IND,2012	13 	13 	17 	12 	8 	3 	: u	20 	11 	5 	15 	3 	20 	15 	12 	9 	6 	3 	1 	24 	3 	22 	28 	15 	2 	4 	2 	7 	5 	17 	34 	33 	17 	18 	5 	2 	7 
I_IHDDAY,F_I3_4,PC_IND_IU3,2012	17 	17 	20 	15 	10 	5 	: u	21 	13 	6 	18 	5 	24 	17 	16 	13 	10 	5 	2 	26 	4 	23 	29 	19 	4 	4 	3 	9 	8 	19 	37 	36 	18 	20 	10 	3 	10 
I_IHDDAY,F_I3_4,PC_IND_IUHD,2012	55 	55 	57 	55 	30 	60 	: u	47 	60 	41 	57 	20 	56 	51 	46 	75 	49 	34 	13 	55 	38 	46 	64 	48 	25 	20 	51 	37 	29 	50 	65 	60 	47 	46 	29 u	17 u	49 
I_IHDDAY,F_I5_8,PC_IND,2012	21 	21 	24 	19 	9 	10 	: u	34 	12 	6 	25 	8 	25 	24 	15 	13 	12 	8 	2 	23 	6 	40 	33 	19 	6 	6 	8 	7 	11 	23 	44 	39 	17 	27 	24 	15 	17 
I_IHDDAY,F_I5_8,PC_IND_IU3,2012	23 	23 	26 	20 	10 	11 	: u	34 	13 	7 	26 	10 	27 	25 	17 	15 	13 	9 	3 	24 	7 	41 	33 	20 	7 	6 	9 	7 	11 	24 	45 	40 	17 	27 	27 	16 	18 
I_IHDDAY,F_I5_8,PC_IND_IUHD,2012	57 	57 	60 	57 	30 	59 	: u	59 	56 	38 	62 	50 	62 	58 	44 	69 	47 	48 	18 	46 	43 	76 u	67 	50 	29 	29 	53 	24 	37 	47 	68 	61 	36 	45 	76 u	49 u	58 
I_IHDDAY,F_Y16_24,PC_IND,2012	33 	32 	39 	33 	15 	10 	: u	55 	34 	20 	33 	6 	43 	35 	44 	22 	20 	20 	8 	51 	9 	38 	72 	45 	9 	6 	5 	23 	13 	30 	64 	59 	32 	52 	25 	9 	8 
I_IHDDAY,F_Y16_24,PC_IND_IU3,2012	34 	34 	41 	34 	15 	12 	: u	55 	35 	21 	35 	6 	44 	35 	45 	27 	21 	20 	8 	52 	10 	39 	72 	46 	9 	6 	6 	24 	13 	30 	64 	61 	32 	52 	28 	10 	15 
I_IHDDAY,F_Y16_24,PC_IND_IUHD,2012	61 	61 	65 	61 	30 	61 	: u	78 	68 	54 	68 	17 	66 	54 	58 	79 	50 	48 	21 	66 	40 	59 	87 	65 	25 	16 	50 	42 	28 	46 	77 	69 	46 	70 u	52 u	32 u	50 
I_IHDDAY,F_Y16_74,PC_IND,2012	13 	13 	16 	12 	8 	4 	: u	28 	11 	6 	17 	4 	15 	15 	11 	7 	7 	5 	2 	22 	3 	14 	27 	16 	3 	2 	2 	6 	7 	18 	37 	31 	17 	25 	9 	3 	4 
I_IHDDAY,F_Y16_74,PC_IND_IU3,2012	19 	19 	21 	17 	10 	8 	: u	30 	14 	7 	21 	7 	23 	19 	20 	13 	12 	8 	3 	25 	5 	22 	29 	21 	5 	4 	5 	8 	9 	20 	40 	36 	17 	26 	18 	6 	11 
I_IHDDAY,F_Y16_74,PC_IND_IUHD,2012	56 	56 	58 	55 	30 	58 	: u	58 	59 	41 	61 	32 	58 	52 	52 	72 	46 	42 	18 	52 	40 	55 	67 	52 	27 	24 	50 	32 	31 	47 	66 	60 	42 	48 	51 	30 	51 
I_IHDDAY,F_Y25_54,PC_IND,2012	15 	15 	17 	13 	8 	5 	: u	33 	11 	5 	19 	5 	16 	17 	9 	7 	6 	5 	1 	22 	4 	16 	27 	15 	4 	3 	2 	4 	8 	25 	45 	36 	19 	28 	8 	3 	3 
I_IHDDAY,F_Y25_54,PC_IND_IU3,2012	18 	18 	21 	16 	10 	7 	: u	34 	12 	6 	22 	8 	21 	19 	13 	11 	10 	6 	2 	23 	5 	20 	28 	17 	5 	4 	5 	6 	9 	26 	46 	39 	19 	28 	14 	5 	9 
I_IHDDAY,F_Y25_54,PC_IND_IUHD,2012	55 	55 	57 	54 	31 	57 	: u	57 	57 	32 	60 	41 	55 	53 	46 	69 	45 	38 	15 	48 	40 	55 	61 	45 	28 	30 	50 	24 	34 	50 	65 	59 	41 	45 	49 u	30 u	52 
I_IHDDAY,F_Y25_64,PC_IND,2012	12 	12 	14 	10 	7 	4 	: u	27 	9 	4 	16 	4 	13 	13 	7 	6 	5 	4 	1 	19 	3 	12 	22 	13 	3 	2 	2 	4 	6 	19 	37 	31 	15 	22 	6 	2 	3 
I_IHDDAY,F_Y25_64,PC_IND_IU3,2012	16 	16 	18 	14 	8 	7 	: u	29 	10 	5 	20 	7 	19 	16 	12 	10 	9 	5 	1 	21 	4 	18 	23 	16 	5 	4 	4 	5 	8 	20 	39 	35 	15 	23 	13 	4 	9 
I_IHDDAY,F_Y25_64,PC_IND_IUHD,2012	54 	54 	56 	53 	29 	57 	: u	54 	55 	33 	59 	41 	54 	52 	46 	69 	44 	37 	14 	47 	40 	52 	59 	46 	28 	30 	49 	25 	32 	47 	64 	59 	40 	43 	48 u	28 u	52 
I_IHDDAY,F_Y55_74,PC_IND,2012	2 	2 	3 	2 	3 	1 	: u	6 	1 	0 n	2 	0 n	1 	3 	1 	1 	1 	0 n	0 	5 	1 	1 	5 	2 	0 n	0 n	0 n	1 	1 	3 	9 	8 	2 	3 	1 	0 	0 n
I_IHDDAY,F_Y55_74,PC_IND_IU3,2012	5 	5 	6 	4 	5 	3 	: u	7 	2 	0 n	4 	3 	4 	5 	4 	4 	3 	1 	0 	7 	2 	2 	7 	6 	1 	2 	1 	2 	2 	5 	11 	11 	2 	4 	6 u	0 u	1 
I_IHDDAY,F_Y55_74,PC_IND_IUHD,2012	40 	40 	41 	38 	24 	: u	: u	31 	30 	: u	32 	: u	37 	41 	34 u	67 	: u	: u	: u	35 u	44 u	: u	45 	47 u	13 u	: u	: u	: u	17 u	28 	44 	44 	: u	18 u	: u	: u	: u
I_IHDDAY,HHI_Q1,PC_IND,2012	8 	8 	10 	8 	5 	0 n	: u	44 	8 	2 	: 	2 	7 	: 	: 	4 	4 	5 	1 	18 	2 	3 	25 	17 	1 	1 	0 n	2 	4 	17 	25 	: 	13 	28 	: 	2 	: 
I_IHDDAY,HHI_Q1,PC_IND_IU3,2012	15 	15 	17 	15 	10 	1 	: u	45 	12 	5 	: 	6 	14 	: 	: 	12 	10 	10 	2 	23 	5 	8 	29 	25 	3 	5 	1 	7 	9 	21 	33 	: 	14 	32 	: 	8 	: 
I_IHDDAY,HHI_Q1,PC_IND_IUHD,2012	54 	54 	57 	55 	33 	: u	: u	68 	57 	39 u	: 	23 	42 	: 	: 	69 	48 	45 	15 	53 	45 	31 u	70 	59 	17 	42 u	: u	26 u	33 	56 	65 u	: 	40 	58 	: 	35 u	: 
I_IHDDAY,HHI_Q2,PC_IND,2012	9 	9 	12 	10 	8 	2 	: u	26 	12 	4 	: 	5 	15 	: 	: 	5 	7 	5 	2 	25 	3 	13 	24 	17 	3 	2 	2 	4 	7 	16 	32 	: 	16 	26 	: 	1 	: 
I_IHDDAY,HHI_Q2,PC_IND_IU3,2012	15 	15 	18 	16 	11 	4 	: u	30 	16 	6 	: 	10 	22 	: 	: 	11 	13 	8 	4 	26 	5 	19 	25 	24 	5 	4 	6 	8 	10 	20 	36 	: 	16 	27 	: 	1 	: 
I_IHDDAY,HHI_Q2,PC_IND_IUHD,2012	53 	53 	57 	55 	32 	56 	: u	58 	64 	37 	: 	40 	53 	: 	: 	70 	50 	40 	26 	54 	45 	52 	62 	49 	25 	27 	50 	32 u	32 	57 	65 	: 	43 	59 	: 	: u	: 
I_IHDDAY,HHI_Q3,PC_IND,2012	12 	12 	15 	14 	8 	4 	: u	26 	14 	7 	: 	9 	24 	: 	: 	8 	14 	6 	2 	28 	4 	20 	34 	18 	4 	3 	3 	5 	10 	20 	29 	: 	23 	31 	: 	2 	: 
I_IHDDAY,HHI_Q3,PC_IND_IU3,2012	16 	16 	19 	18 	9 	6 	: u	28 	17 	8 	: 	11 	27 	: 	: 	15 	18 	8 	3 	29 	5 	25 	34 	22 	5 	5 	6 	7 	12 	21 	30 	: 	23 	31 	: 	3 	: 
I_IHDDAY,HHI_Q3,PC_IND_IUHD,2012	53 	53 	58 	57 	28 	62 	: u	54 	59 	43 	: 	37 	59 	: 	: 	74 	55 	38 	18 	52 	38 	59 	68 	52 	24 	31 	47 	24 	35 	47 	54 	: 	46 	47 	: 	21 u	: 
I_IHDDAY,HHI_Q4,PC_IND,2012	18 	18 	23 	20 	18 	10 	: u	26 	21 	15 	: 	13 	33 	: 	: 	14 	14 	12 	5 	29 	10 	30 	41 	23 	8 	10 	5 	11 	14 	34 	51 	: 	30 	38 	: 	12 	: 
